epoch,avg_loss,elapsed_sec
1,0.6620462134385564,6.703051567077637
2,0.6618770254645377,13.76653528213501
3,0.661786849331704,20.98083519935608
4,0.6618352156535835,28.11002206802368
5,0.6619280925981558,35.75231456756592
6,0.6618598840039247,43.04932188987732
7,0.6618925222925319,50.13052487373352
8,0.6618877710050838,57.59957766532898
9,0.6618241861367681,65.01727843284607
10,0.6619726066376753,72.45658302307129
11,0.662053178829752,79.88952827453613
12,0.6618451715274981,87.47547006607056
13,0.6618853739112806,94.83976745605469
14,0.6617923120784152,102.64930033683777
15,0.6618242297962214,110.42704963684082
16,0.6617992926555075,117.64139032363892
17,0.6619774600502791,125.01185917854309
18,0.6618135336098397,132.9541540145874
19,0.6618790520224601,140.98798727989197
20,0.6617956142516652,148.688232421875
21,0.6619091144033299,156.7591552734375
22,0.6618465340820847,164.2315673828125
23,0.6617925960546845,171.40461421012878
24,0.6618171732896453,178.69809699058533
25,0.661875700874693,185.9062216281891
26,0.6619027545497675,194.19151544570923
27,0.6617813133130408,202.327303647995
28,0.6618992382553732,211.286479473114
29,0.6618133320170603,220.98957061767578
30,0.6618797570277172,228.75279808044434
31,0.6617663100266912,236.41098642349243
32,0.6618055663291057,244.47040224075317
33,0.661820202496401,252.94969487190247
34,0.6617881146965513,261.20010113716125
35,0.6617992634226562,269.02618956565857
36,0.6617844070598577,276.31662464141846
37,0.6617859529841478,283.76960945129395
38,0.6618655449265887,291.3108432292938
39,0.6617469787597656,299.33301615715027
40,0.6617758961240198,307.5272078514099
41,0.661691675520247,315.86033749580383
42,0.6619230186104015,324.1700792312622
43,0.6617577539128103,332.2695243358612
44,0.6619138170959084,339.70860528945923
45,0.6617700734715553,346.8655881881714
46,0.6617774348350087,353.81415605545044
47,0.6617614144732238,361.1167826652527
48,0.6619051812560695,368.4542806148529
49,0.6618902436487234,375.5564739704132
50,0.6617478728294373,383.25891065597534
